127.0.0.1 - - [05/Oct/2021:13:35:52 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:35:52 +0900] "GET /jqpro/1001/lprod_prod.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:35:52 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:35:52 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:35:55 +0900] "GET /jqpro/LprodList.do HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:35:59 +0900] "GET /jqpro/ProdServlet.do?lprod_gu=P201 HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:36:01 +0900] "POST /jqpro/ProdServlet.do HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/1001/lprod_prod.html HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/1001/lprod_prod.html HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/1001/lprod_prod.html HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/1001/lprod_prod.html HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:49:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
