127.0.0.1 - - [12/Jan/2022:08:41:29 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:48 +0900] "GET /covid/ HTTP/1.1" 200 5734
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/js/jquery-3.6.0.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/jszip/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/common/loginForm.do HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:49 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/indexPage?mCode=M050000 HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/resources/js/jquery-3.6.0.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/common/loading HTTP/1.1" 200 3093
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/resources/bootstrap/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/resources/bootstrap/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/resources/bootstrap/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /covid/ltct/main HTTP/1.1" 200 19756
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:41:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:11 +0900] "GET /covid/ltct/isoptnt-list HTTP/1.1" 200 12187
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:21 +0900] "GET /covid/ltct/isoptnt-detail HTTP/1.1" 200 24076
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:30 +0900] "GET /covid/ltct/statistics HTTP/1.1" 200 16014
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:35 +0900] "GET /covid/ltct/notice-list HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:37 +0900] "GET /covid/ltct/notice-detail HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:39 +0900] "GET /covid/ltct/statistics HTTP/1.1" 200 16014
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:40 +0900] "GET /covid/ltct/notice-list HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:47 +0900] "GET /covid/ltct/emp-manage-registform HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:53 +0900] "GET /covid/ltct/notice-list HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:54 +0900] "GET /covid/ltct/emp-manage-registform HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:58 +0900] "GET /covid/ltct/emp-manage-list HTTP/1.1" 200 9093
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:42:58 +0900] "GET /covid/ltct/emp-manage-registform HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:43:02 +0900] "GET /covid/ltct/notice-list HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:14 +0900] "GET /covid/indexPage?mCode=M050600 HTTP/1.1" 200 7101
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:14 +0900] "GET /covid/resources/js/jquery-3.6.0.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:14 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:14 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5232
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:14 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:14 +0900] "GET /covid/resources/bootstrap/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 200 1382975
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/js/common.js HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 14006
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 200 44244
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Jan/2022:08:46:15 +0900] "GET /covid/common/loading HTTP/1.1" 200 3093
