127.0.0.1 - - [14/Feb/2022:08:54:05 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:20 +0900] "GET /covid/ HTTP/1.1" 200 9465
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:24 +0900] "GET /covid/common/loginForm HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:30 +0900] "POST /covid/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:30 +0900] "GET /covid/common/set-session HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:30 +0900] "GET /covid/indexPage?mCode=M060000 HTTP/1.1" 200 11545
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:31 +0900] "GET /covid/common/loading HTTP/1.1" 200 5518
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:31 +0900] "GET /covid/admin/main HTTP/1.1" 200 45451
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:31 +0900] "POST /covid/rest-main/insp-list HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:31 +0900] "POST /covid/rest-main/pbht-list HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:31 +0900] "POST /covid/rest-main/hspt-list HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:31 +0900] "POST /covid/rest-main/ltct-list HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:35 +0900] "GET /covid/admin/access-log-list HTTP/1.1" 200 15764
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:36 +0900] "GET /covid/admin/error-log-list HTTP/1.1" 200 14524
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:36 +0900] "GET /covid/admin/access-log-list HTTP/1.1" 200 15764
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:54:36 +0900] "GET /covid/admin/notice-list HTTP/1.1" 200 14493
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/indexPage?mCode=M060200 HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5232
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 200 44244
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 200 1382975
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/js/common.js HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [14/Feb/2022:08:55:38 +0900] "GET /covid/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
